position COMBINED_rate.cM.Mb. Genetic_Map.cM.
64 0 64
72 0 72
73 0 73
93 0 93
95 0 95
143 0 143
146 0 146
150 0 150
151 0 151
152 0 152
153 0 153
182 0 182
183 0 183
185 0 185
185 0 185
186 0 186
188 0 188
189 0 189
189 0 189
194 0 194
195 0 195
198 0 198
199 0 199
200 0 200
204 0 204
207 0 207
210 0 210
215 0 215
217 0 217
225 0 225
228 0 228
234 0 234
235 0 235
236 0 236
239 0 239
247 0 247
250 0 250
263 0 263
295 0 295
297 0 297
302 0 302
308 0 308
309 0 309
310 0 310
316 0 316
357 0 357
372 0 372
417 0 417
456 0 456
462 0 462
477 0 477
482 0 482
489 0 489
493 0 493
497 0 497
499 0 499
508 0 508
513 0 513
533 0 533
663 0 663
709 0 709
710 0 710
719 0 719
750 0 750
752 0 752
769 0 769
825 0 825
921 0 921
930 0 930
951 0 951
961 0 961
980 0 980
1018 0 1018
1041 0 1041
1048 0 1048
1107 0 1107
1189 0 1189
1243 0 1243
1438 0 1438
1442 0 1442
1503 0 1503
1598 0 1598
1700 0 1700
1719 0 1719
1721 0 1721
1736 0 1736
1738 0 1738
1780 0 1780
1811 0 1811
1822 0 1822
1888 0 1888
2000 0 2000
2092 0 2092
2245 0 2245
2259 0 2259
2308 0 2308
2332 0 2332
2352 0 2352
2416 0 2416
2442 0 2442
2706 0 2706
2758 0 2758
2768 0 2768
2789 0 2789
2885 0 2885
3010 0 3010
3027 0 3027
3197 0 3197
3308 0 3308
3316 0 3316
3348 0 3348
3394 0 3394
3396 0 3396
3434 0 3434
3438 0 3438
3447 0 3447
3450 0 3450
3480 0 3480
3483 0 3483
3505 0 3505
3516 0 3516
3531 0 3531
3552 0 3552
3591 0 3591
3594 0 3594
3606 0 3606
3666 0 3666
3693 0 3693
3705 0 3705
3720 0 3720
3741 0 3741
3756 0 3756
3796 0 3796
3796 0 3796
3834 0 3834
3843 0 3843
3847 0 3847
3915 0 3915
3918 0 3918
3970 0 3970
3992 0 3992
4024 0 4024
4025 0 4025
4048 0 4048
4071 0 4071
4086 0 4086
4104 0 4104
4117 0 4117
