position COMBINED_rate.cM.Mb. Genetic_Map.cM.
41 0 41
55 0 55
56 0 56
57 0 57
57 0 57
58 0 58
59 0 59
60 0 60
61 0 61
62 0 62
62 0 62
63 0 63
63 0 63
64 0 64
66 0 66
70 0 70
72 0 72
72 0 72
73 0 73
89 0 89
92 0 92
93 0 93
94 0 94
95 0 95
103 0 103
114 0 114
119 0 119
125 0 125
127 0 127
128 0 128
131 0 131
143 0 143
146 0 146
150 0 150
151 0 151
152 0 152
153 0 153
182 0 182
183 0 183
185 0 185
185 0 185
186 0 186
186 0 186
188 0 188
189 0 189
189 0 189
194 0 194
195 0 195
195 0 195
196 0 196
198 0 198
199 0 199
200 0 200
203 0 203
204 0 204
207 0 207
210 0 210
212 0 212
214 0 214
215 0 215
217 0 217
225 0 225
226 0 226
227 0 227
228 0 228
228 0 228
234 0 234
235 0 235
236 0 236
239 0 239
240 0 240
242 0 242
244 0 244
246 0 246
247 0 247
249 0 249
250 0 250
257 0 257
260 0 260
262 0 262
263 0 263
264 0 264
265 0 265
271 0 271
279 0 279
282 0 282
285 0 285
287 0 287
293 0 293
294 0 294
295 0 295
295 0 295
297 0 297
298 0 298
302 0 302
308 0 308
309 0 309
310 0 310
316 0 316
318 0 318
319 0 319
325 0 325
326 0 326
338 0 338
340 0 340
357 0 357
372 0 372
373 0 373
374 0 374
385 0 385
398 0 398
408 0 408
416 0 416
417 0 417
418 0 418
447 0 447
456 0 456
460 0 460
462 0 462
466 0 466
467 0 467
471 0 471
477 0 477
480 0 480
482 0 482
485 0 485
489 0 489
493 0 493
494 0 494
497 0 497
499 0 499
508 0 508
511 0 511
513 0 513
515 0 515
520 0 520
533 0 533
534 0 534
537 0 537
548 0 548
574 0 574
593 0 593
596 0 596
597 0 597
629 0 629
656 0 656
663 0 663
669 0 669
680 0 680
681 0 681
709 0 709
710 0 710
711 0 711
719 0 719
721 0 721
722 0 722
723 0 723
723 0 723
735 0 735
739 0 739
750 0 750
750 0 750
752 0 752
769 0 769
789 0 789
794 0 794
813 0 813
824 0 824
825 0 825
827 0 827
850 0 850
869 0 869
870 0 870
921 0 921
930 0 930
930 0 930
951 0 951
961 0 961
961 0 961
980 0 980
1005 0 1005
1007 0 1007
1018 0 1018
1040 0 1040
1041 0 1041
1048 0 1048
1095 0 1095
1107 0 1107
1119 0 1119
1189 0 1189
1193 0 1193
1211 0 1211
1243 0 1243
1291 0 1291
1303 0 1303
1382 0 1382
1391 0 1391
1393 0 1393
1406 0 1406
1413 0 1413
1415 0 1415
1420 0 1420
1438 0 1438
1442 0 1442
1452 0 1452
1453 0 1453
1462 0 1462
1503 0 1503
1541 0 1541
1555 0 1555
1598 0 1598
1664 0 1664
1677 0 1677
1692 0 1692
1692 0 1692
1694 0 1694
1700 0 1700
